pH,Chlorine,Turbidity,Conductivity,Alkalinity,Temperature,Colour,Total Dissolved Solids,Hardness
Finish,Free,Finish,Finish,Finish,Finish,Raw T,Finish,Finish
7.35,1.82,0.134,48.6,10.0,3.4,40.0,24.3,20.9
7.22,1.79,0.138,56.4,10.0,3.7,176.0,28.2,20.2
7.34,1.82,0.12,53.6,10.0,3.7,54.0,26.8,23.2
7.29,1.7850000000000001,0.14100000000000001,54.2,10.0,3.6500000000000004,74.0,27.1,23.85
7.24,1.75,0.162,54.8,10.0,3.6,94.0,27.4,24.5
1.73,1.73,0.128,55.1,10.0,3.4,52.0,27.5,22.6
4.51,4.795,0.136,56.05,10.0,3.9000000000000004,56.0,28.0,22.9
7.29,7.86,0.144,57.0,10.0,4.4,60.0,28.5,23.2
7.22,1.69,0.13,55.1,10.0,3.1,64.0,27.5,22.5
7.55,1.78,0.136,54.8,10.0,3.0,60.0,27.4,22.1
7.41,1.815,0.13,53.4,10.0,3.2,58.5,26.7,22.25
7.27,1.85,0.124,52.0,10.0,3.4,57.0,26.0,22.4
7.39,1.91,0.194,45.6,10.0,3.7,74.0,22.8,23.2
7.28,1.71,0.141,57.2,10.0,3.1,64.0,28.6,22.1
7.36,1.92,0.214,59.0,10.0,3.3,26.0,29.5,28.2
7.28,1.87,0.165,52.8,10.0,3.4,21.0,26.4,28.3
7.01,1.85,0.155,56.4,10.0,3.6,28.0,28.2,20.5
7.025,1.81,0.21800000000000003,57.95,10.0,3.4000000000000004,44.5,29.0,18.1
7.04,1.77,0.281,59.5,10.0,3.2,61.0,29.8,15.7
7.17,1.78,0.107,53.7,10.0,3.9,26.0,26.9,18.6
7.1,1.92,0.147,56.8,10.0,3.0,30.0,28.4,19.1
7.46,1.74,0.157,59.4,10.0,3.1,20.0,29.7,20.5
7.34,1.84,0.124,58.2,10.0,2.9,33.0,29.1,21.1
7.23,1.74,0.15,59.0,10.0,3.2,36.0,29.5,23.4
7.29,1.615,0.2005,59.4,10.0,3.1500000000000004,42.0,29.7,24.049999999999997
7.35,1.49,0.251,59.8,10.0,3.1,48.0,29.9,24.7
7.4,1.63,0.152,60.0,10.0,2.8,46.0,30.0,23.7
7.54,1.62,0.21,57.4,10.0,3.3,39.0,28.7,22.7
7.47,1.6,0.187,56.0,10.0,3.0,39.0,28.0,23.9
7.59,1.76,0.18,58.7,10.0,2.9,43.0,29.4,24.4
6.8,1.76,0.15,60.2,10.0,3.2,56.0,30.1,24.4
7.045,1.795,0.152,61.6,10.0,3.05,58.0,30.8,23.85
7.29,1.83,0.154,63.0,10.0,2.9,60.0,31.5,23.3
7.27,1.67,0.192,57.6,10.0,2.9,63.0,28.8,24.5
7.49,1.59,0.225,60.7,10.0,3.0,52.0,30.3,23.1
7.42,1.43,0.381,55.9,10.0,2.9,60.0,27.9,21.7
7.47,1.53,0.358,61.4,10.0,3.0,57.0,30.7,20.5
7.51,1.55,0.381,59.4,10.0,2.8,57.0,29.7,22.3
7.425,1.5,0.355,57.15,10.0,2.8,56.5,28.6,24.05
7.34,1.45,0.329,54.9,10.0,2.8,56.0,27.5,25.8
7.37,1.53,0.341,58.5,10.0,2.9,57.0,29.3,22.5
7.29,1.55,0.393,63.2,10.0,2.7,52.0,31.6,26.9
7.23,1.49,0.312,59.2,10.0,2.6,41.0,29.6,20.2
7.44,1.51,7.06,61.0,10.0,2.7,51.0,30.5,22.3
7.0525,1.9249999999999998,0.17825,56.25,10.0,2.675,39.0,28.15,23.55
7.075,1.9,0.16849999999999998,55.8,10.0,2.75,42.0,27.9,23.6
7.03,1.95,0.188,56.7,10.0,2.6,36.0,28.4,23.5
7.12,1.85,0.149,54.9,10.0,2.9,48.0,27.4,23.7
7.25,1.87,0.163,61.6,10.0,2.8,49.0,30.8,24.5
7.0,1.87,0.165,57.0,10.0,2.5,111.0,28.5,22.6
7.09,1.79,0.14,58.2,10.0,2.6,42.0,29.1,23.3
7.07,1.83,0.143,58.2,10.0,2.5,43.0,29.1,21.8
7.845,1.85,0.1525,58.900000000000006,10.0,2.7,44.0,29.450000000000003,21.3
8.62,1.87,0.162,59.6,10.0,2.9,45.0,29.8,20.8
7.26,1.89,0.146,57.6,10.0,2.7,60.0,28.8,24.0
7.33,1.95,0.162,57.8,10.0,2.6,43.0,28.8,22.4
8.01,1.91,0.175,59.1,10.0,2.6,46.0,29.5,23.1
6.91,1.94,0.182,58.2,10.0,2.7,37.0,29.1,22.6
7.02,1.91,7.02,48.4,10.0,2.9,45.0,24.4,20.3
7.0275,1.8900000000000001,0.17049999999999998,58.45,10.0,2.6500000000000004,42.75,29.175,23.375
7.005,1.9100000000000001,0.173,55.2,10.0,2.7,44.5,27.55,22.35
7.05,1.87,0.168,61.7,10.0,2.6,41.0,30.8,24.4
6.96,1.95,0.178,48.7,10.0,2.8,48.0,24.3,20.3
6.94,1.86,0.226,63.7,10.0,2.9,24.0,31.8,20.2
7.23,1.92,0.196,62.4,10.0,2.9,26.0,31.2,21.1
5.88,1.85,0.108,45.8,10.0,2.9,30.0,22.9,22.6
6.975,1.7475,0.18425,66.2,10.0,2.875,74.5,33.1,33.825
6.98,1.7149999999999999,0.1905,65.4,10.0,2.95,70.0,32.7,32.45
6.97,1.78,0.178,67.0,10.0,2.8,79.0,33.5,35.2
6.99,1.65,0.203,63.8,10.0,3.1,61.0,31.9,29.7
7.61,1.74,0.177,66.0,10.0,3.0,46.0,33.0,23.4
7.24,1.77,0.226,57.8,10.0,2.9,41.0,28.9,26.8
7.46,1.76,0.206,59.5,10.0,3.0,43.0,29.7,26.6
7.1,1.745,0.2015,55.75,10.0,3.05,42.0,27.85,26.25
6.74,1.73,0.197,52.0,10.0,3.1,41.0,26.0,25.9
7.66,1.68,0.246,66.2,10.0,3.1,46.0,33.1,24.2
7.78,1.47,0.388,63.0,10.0,3.2,52.0,31.5,24.4
6.39,1.28,0.771,61.0,10.0,3.3,36.0,30.5,24.6
7.11,1.99,0.21,68.5,10.0,3.2,37.0,34.2,24.3
7.06,1.95,0.231,68.8,10.0,3.2,54.0,34.4,20.9
6.609999999999999,1.9249999999999998,0.21550000000000002,60.25,10.0,3.3,46.5,30.15,19.4
6.16,1.9,0.2,51.7,10.0,3.4,39.0,25.9,17.9
7.3,1.91,0.201,66.4,10.0,3.4,40.0,33.2,21.8
7.26,1.83,0.206,66.4,10.0,3.6,60.0,33.2,20.3
7.19,1.86,0.238,70.2,10.0,3.7,67.0,35.1,21.3
6.81,1.91,0.142,63.2,10.0,3.7,61.0,31.6,21.6
6.32,1.6,0.086,52.0,10.0,3.4,58.0,26.0,22.5
7.02,1.56,0.1395,55.3,10.0,3.3,49.5,27.65,22.0
7.72,1.52,0.193,58.6,10.0,3.2,41.0,29.3,21.5
7.5,1.56,0.063,68.3,10.0,3.7,18.0,34.1,22.0
7.51,1.5,0.072,68.6,10.0,3.7,26.0,34.3,23.5
7.18,1.51,0.184,67.4,10.0,4.6,30.0,33.7,23.6
7.2,1.46,0.216,65.1,10.0,4.2,28.0,32.5,22.8
7.25,1.43,0.191,63.0,10.0,3.8,46.0,31.5,24.1
7.2,1.535,0.1845,62.8,10.0,3.7,47.0,31.4,24.25
7.15,1.64,0.178,62.6,10.0,3.6,48.0,31.3,24.4
7.23,1.475,0.176,63.4,10.0,3.4,14.0,31.7,23.4
6.97,1.31,0.129,62.9,10.0,3.4,14.0,31.4,23.9
7.47,1.34,0.117,62.3,10.0,3.1,48.0,31.1,21.4
7.11,1.52,0.222,56.7,10.0,3.3,63.0,28.4,20.3
7.36,1.46,0.161,52.6,10.0,3.0,53.0,26.3,20.0
7.005000000000001,1.4100000000000001,0.14950000000000002,48.400000000000006,10.0,3.1,51.5,24.200000000000003,16.95
6.65,1.36,0.138,44.2,10.0,3.2,50.0,22.1,13.9
6.35,1.49,0.425,48.4,10.0,3.4,51.0,24.2,14.2
5.34,1.69,0.056,39.9,10.0,3.5,79.0,19.9,14.5
5.44,1.7,0.051,39.4,10.0,3.8,79.0,19.7,19.4
5.32,1.89,0.087,33.2,10.0,3.8,66.0,16.6,19.9
5.8,1.69,0.048,36.6,10.0,4.2,78.0,18.3,21.7
5.765000000000001,1.6749999999999998,0.1505,34.55,10.0,4.2,68.5,17.3,21.35
5.73,1.66,0.253,32.5,10.0,4.2,59.0,16.3,21.0
5.67,1.47,0.036,34.5,10.0,4.4,40.0,17.2,17.8
7.25,1.41,0.2189,44.0,10.0,4.6,43.0,22.0,18.9
7.77,1.44,0.173,50.0,10.0,4.7,41.0,25.0,21.1
7.57,1.49,0.199,48.6,10.0,4.6,28.0,24.3,19.4
7.34,1.66,0.129,49.3,10.0,4.7,26.0,24.6,20.9
7.529999999999999,1.74,0.16999999999999998,48.55,10.0,4.4,34.0,24.25,20.35
7.72,1.82,0.211,47.8,10.0,4.1,42.0,23.9,19.8
7.24,1.75,0.169,47.0,10.0,4.5,16.0,23.5,21.5
7.53,1.54,0.095,49.3,10.0,4.9,42.0,24.6,21.3
7.89,1.5,0.122,49.3,10.0,4.9,36.0,24.6,21.1
7.86,1.48,0.079,48.0,10.0,5.3,37.0,24.0,22.3
7.41,1.63,0.083,53.4,10.0,5.6,40.0,26.0,20.6
7.54,1.585,0.11499999999999999,50.599999999999994,10.0,6.35,33.0,24.95,22.200000000000003
7.67,1.54,0.147,47.8,10.0,7.1,26.0,23.9,23.8
7.55,1.53,0.091,46.6,10.0,7.7,24.0,23.3,20.8
7.47,1.49,0.061,49.3,10.0,7.5,22.0,24.6,20.1
7.84,1.46,0.237,45.2,10.0,8.9,64.0,22.6,7.7
7.39,1.42,0.083,40.2,10.0,9.6,61.0,20.1,8.6
7.88,1.4,0.081,43.0,10.0,8.9,60.0,21.5,13.0
7.609999999999999,1.51,0.118,43.8,10.0,8.2,72.0,21.85,15.9
7.34,1.62,0.155,44.6,10.0,7.5,84.0,22.2,18.8
7.16,1.8,0.053,43.7,10.0,7.0,24.0,21.8,15.7
7.44,1.86,0.083,42.8,10.0,6.8,31.0,21.4,18.2
7.25,1.83,0.179,36.6,10.0,8.0,37.0,18.3,19.0
7.39,1.8,0.134,44.3,10.0,8.9,44.0,22.1,18.9
7.42,1.77,0.127,44.6,10.0,8.9,45.0,22.3,21.7
7.29,1.725,0.125,42.900000000000006,10.0,9.5,59.0,21.450000000000003,20.45
7.16,1.68,0.123,41.2,10.0,10.1,73.0,20.6,19.2
7.47,1.57,0.132,42.4,10.0,11.0,65.0,21.2,18.4
6.9375,1.5525000000000002,0.22025,44.375,10.0,8.475,60.5,22.175,19.625
6.805,1.5550000000000002,0.17450000000000002,44.55,10.0,9.35,60.0,22.25,20.15
7.07,1.55,0.266,44.2,10.0,7.6,61.0,22.1,19.1
6.54,1.56,0.083,44.9,10.0,11.1,59.0,22.4,21.2
7.265000000000001,1.46,0.33449999999999996,45.849999999999994,10.0,11.0,45.0,22.9,21.65
7.99,1.36,0.586,46.8,10.0,10.9,31.0,23.4,22.1
7.45,1.34,0.214,41.4,10.0,10.9,22.0,20.7,23.2
7.03,1.48,0.162,41.5,10.0,10.4,27.0,20.7,22.2
7.48,1.43,0.162,42.0,10.0,10.1,11.0,21.0,22.7
7.41,1.45,0.156,41.8,10.0,11.1,16.0,20.9,21.4
7.3,1.69,0.158,42.4,10.0,11.4,27.0,21.2,19.0
7.29,1.4849999999999999,0.294,42.45,10.0,11.600000000000001,34.5,21.2,19.6
7.28,1.28,0.43,42.5,10.0,11.8,42.0,21.2,20.2
7.32,1.4,0.234,36.9,10.0,12.7,25.0,18.4,21.2
7.45,1.62,0.246,42.5,10.0,12.3,56.0,21.2,18.6
7.59,1.65,0.27,47.3,10.0,12.1,34.0,23.7,19.3
7.31,1.69,0.322,44.5,10.0,12.6,21.0,22.2,20.3
7.03875,1.5525,0.36675,41.2125,10.0,12.9375,18.75,20.5625,20.275
7.0675,1.605,0.3615,41.525,10.0,12.774999999999999,23.5,20.724999999999998,20.35
7.01,1.5,0.372,40.9,10.0,13.1,14.0,20.4,20.2
7.125,1.71,0.351,42.15,10.0,12.45,33.0,21.049999999999997,20.5
7.24,1.92,0.33,43.4,10.0,11.8,52.0,21.7,20.8
7.19,2.02,0.281,43.4,10.0,11.5,5.0,21.7,19.2
7.050000000000001,1.875,0.23850000000000002,40.5,10.0,11.35,34.5,20.25,20.1
6.91,1.73,0.196,37.6,10.0,11.2,64.0,18.8,21.0
6.725,1.685,0.278,39.05,10.0,11.7,35.0,19.5,19.25
6.54,1.64,0.36,40.5,10.0,12.2,6.0,20.2,17.5
6.96,1.82,0.504,48.0,10.0,12.6,50.0,24.0,18.4
7.2,2.0,0.204,43.4,10.0,13.5,31.0,21.7,10.5
7.67,1.8,0.131,42.7,10.0,14.4,40.0,21.3,15.8
7.34,1.47,0.148,41.8,10.0,15.1,33.0,20.9,11.9
7.4,1.29,0.184,41.4,10.0,15.7,43.0,20.7,13.9
7.54,1.4100000000000001,0.189,42.65,10.0,16.15,50.5,21.299999999999997,14.350000000000001
7.68,1.53,0.194,43.9,10.0,16.6,58.0,21.9,14.8
7.19,1.63,0.141,41.3,10.0,17.0,11.0,20.7,14.8
6.97,1.64,0.109,36.4,10.0,16.9,28.0,18.2,15.6
7.21,1.79,0.065,37.6,10.0,16.6,17.0,18.8,17.2
7.1,1.85,0.059,38.4,10.0,16.8,18.0,19.2,19.0
7.02,1.81,0.056,38.4,10.0,17.6,21.0,19.2,18.6
7.225,1.8,0.0805,36.9,10.0,17.05,25.5,18.45,18.700000000000003
7.43,1.79,0.105,35.4,10.0,16.5,30.0,17.7,18.8
7.36,1.77,0.067,39.0,10.0,17.9,43.0,19.5,0.58
7.29,1.5,0.062,35.2,10.0,17.9,42.0,17.6,14.2
7.4,1.415,0.078,37.650000000000006,10.0,18.4,46.5,18.85,15.05
7.51,1.33,0.094,40.1,10.0,18.9,51.0,20.1,15.9
7.4,1.38,0.063,37.9,10.0,19.3,30.0,19.0,14.5
7.285,1.31,0.1175,37.2,10.0,18.6,52.0,18.65,15.35
7.17,1.24,0.172,36.5,10.0,17.9,74.0,18.3,16.2
7.01,1.5150000000000001,0.121,35.65,10.0,17.049999999999997,72.0,17.85,17.549999999999997
6.85,1.79,0.07,34.8,10.0,16.2,70.0,17.4,18.9
6.88,1.97,0.127,44.0,10.0,16.6,30.0,22.0,18.1
7.165,1.8,0.1305,40.9,10.0,17.0,31.0,20.45,18.700000000000003
7.45,1.6,0.134,37.8,10.0,17.4,32.0,18.9,19.3
7.455,1.27,0.14400000000000002,40.349999999999994,10.0,17.7,39.0,20.15,16.45
7.46,1.37,0.154,42.9,10.0,18.0,46.0,21.4,13.6
7.42,1.54,0.109,42.7,10.0,17.9,19.0,21.3,19.5
7.4,1.64,0.143,44.0,10.0,18.0,56.0,22.0,19.0
7.17,1.63,0.138,41.2,10.0,18.1,44.0,20.6,20.7
7.01,1.79,0.123,43.0,10.0,18.1,71.0,21.5,19.6
7.02,1.75,0.192,44.1,10.0,17.8,48.0,22.0,19.9
7.18,1.775,0.20450000000000002,43.650000000000006,10.0,17.4,47.5,21.8,17.7
7.34,1.8,0.217,43.2,10.0,17.0,47.0,21.6,15.5
7.56,1.84,0.174,42.4,10.0,18.1,48.0,21.2,16.3
7.22,1.53,0.133,51.8,10.0,19.0,74.0,25.9,16.8
7.22,1.5,0.245,49.7,10.0,18.0,31.0,24.8,19.1
7.32,1.51,0.227,50.0,10.0,17.5,30.0,25.0,18.6
7.14,1.54,0.23,48.3,10.0,17.8,28.0,24.1,16.7
7.18,1.35,0.225,48.15,10.0,17.65,24.5,24.05,18.35
7.22,1.35,0.22,48.0,10.0,17.5,21.0,24.0,20.0
3.61,1.28,0.2245,48.6,10.0,17.85,35.5,24.3,20.25
5.6,1.35,0.229,49.2,10.0,18.2,50.0,24.6,20.5
7.59,1.58,0.156,48.6,10.0,18.3,28.0,24.3,20.1
7.67,1.26,0.178,44.8,10.0,18.6,101.0,24.4,20.8
7.7,1.1099999999999999,0.153,49.6,10.0,19.3,63.0,24.8,21.1
7.37,1.17,0.22649999999999998,49.900000000000006,10.0,19.25,60.0,24.950000000000003,20.6
7.04,1.05,0.3,50.2,10.0,19.2,57.0,25.1,20.1
7.01,1.29,0.283,49.6,10.0,19.0,70.0,24.8,18.8
7.25,1.5128906249999998,0.274,53.4,10.0,19.7,71.0,26.7,20.3
6.85,1.5142187499999997,0.241,50.4,10.0,20.1,33.0,25.2,21.5
6.86,1.5115624999999997,0.274,49.4,10.0,20.0,41.0,24.7,19.9
6.91,1.5168749999999998,0.335,50.1,10.0,20.2,40.0,25.0,18.6
6.390000000000001,1.5062499999999999,0.2435,50.650000000000006,10.0,19.9,50.5,25.3,18.25
